nama_provinsi,daerah,indeks_kualitas_udara,tahun,Mobil,Bus,Truk,Sepeda Motor,Jumlah,Perusahaan,Jumlah Tenaga Kerja
JAWA TENGAH,Banyumas,88.58,2024,77121.0,1666.0,27514.0,804866.0,911167.0,11746,146749
JAWA TENGAH,Batang,80.61,2024,24189.0,642.0,13728.0,379875.0,418434.0,3022,45679
JAWA TENGAH,Blora,91.36,2024,25353.0,729.0,11684.0,416862.0,454628.0,2129,6176
JAWA TENGAH,Boyolali,83.34,2024,49685.0,1711.0,19259.0,549287.0,619942.0,6181,131729
JAWA TENGAH,Brebes,90.71,2024,32521.0,914.0,16410.0,769577.0,819422.0,779,72316
JAWA TENGAH,Cilacap,79.05,2024,59962.0,743.0,25174.0,882434.0,968313.0,6113,26149
JAWA TENGAH,Demak,72.53,2024,34075.0,1123.0,18972.0,646861.0,701031.0,13274,111339
JAWA TENGAH,Grobogan,90.8,2024,35259.0,1527.0,18968.0,704065.0,759819.0,3391,51808
JAWA TENGAH,Jepara,87.42,2024,46154.0,1214.0,27463.0,694778.0,769609.0,7216,218969
JAWA TENGAH,Karanganyar,91.21,2024,67970.0,1116.0,18114.0,549699.0,636899.0,7348,129932
JAWA TENGAH,Kebumen,91.42,2024,34877.0,1320.0,16922.0,589732.0,642851.0,3368,1229
JAWA TENGAH,Kendal,81.24,2024,35511.0,1007.0,15728.0,597936.0,650182.0,7388,99901
JAWA TENGAH,Klaten,86.15,2024,71415.0,1411.0,25829.0,814023.0,912678.0,1195,87832
JAWA TENGAH,Tegal,85.21,2024,37524.0,572.0,18003.0,701257.0,757356.0,3102,59533
JAWA TENGAH,Kudus,91.47,2024,46471.0,1286.0,22774.0,563972.0,634503.0,4914,282323
JAWA TENGAH,Magelang,92.06,2024,59972.0,1017.0,23840.0,546926.0,631755.0,2011,53214
JAWA TENGAH,Pati,86.52,2024,60992.0,1416.0,31134.0,711295.0,804837.0,7121,97329
JAWA TENGAH,Pekalongan,74.61,2024,29030.0,584.0,9440.0,168195.0,207249.0,1632,74726
JAWA TENGAH,Pemalang,92.83,2024,32992.0,970.0,14133.0,633557.0,681652.0,1539,65982
JAWA TENGAH,Purbalingga,91.04,2024,30145.0,473.0,13593.0,426265.0,470476.0,2465,9507
JAWA TENGAH,Purworejo,88.18,2024,29610.0,743.0,10409.0,358658.0,399420.0,38431,62421
JAWA TENGAH,Rembang,90.17,2024,18885.0,1097.0,11236.0,306955.0,338173.0,3401,4009
JAWA TENGAH,Semarang,88.46,2024,56894.0,2091.0,24762.0,559933.0,643680.0,5127,306647
JAWA TENGAH,Sragen,91.05,2024,55056.0,1193.0,24116.0,612217.0,692582.0,13621,9023
JAWA TENGAH,Sukoharjo,89.47,2024,67258.0,867.0,15594.0,604287.0,688006.0,11223,161501
JAWA TENGAH,Temanggung,87.84,2024,34886.0,801.0,18242.0,298807.0,352736.0,3047,39543
JAWA TENGAH,Wonogiri,92.76,2024,48529.0,1520.0,17711.0,436478.0,504238.0,578,37746
JAWA TENGAH,Wonosobo,92.05,2024,26560.0,1087.0,17161.0,315198.0,360006.0,20336,25697
JAWA TENGAH,Kota Magelang,86.83,2024,18893.0,627.0,5982.0,102012.0,127514.0,4553,8753
JAWA TENGAH,Kota Pekalongan,84.98,2024,18816.0,340.0,7101.0,204351.0,230608.0,10323,3433
JAWA TENGAH,Kota Salatiga,87.8,2024,24696.0,468.0,6717.0,138721.0,170602.0,1891,43356
JAWA TENGAH,Kota Semarang,86.9,2024,283191.0,3135.0,89906.0,1608877.0,1985109.0,5967,277725
JAWA TENGAH,Kota Surakarta,93.04,2024,87292.0,1458.0,27548.0,533359.0,649657.0,1091,22245
JAWA TENGAH,Kota Tegal,90.75,2024,16213.0,630.0,6923.0,189773.0,213539.0,1904,10076
